review_text,rating,date,bank_name,source
thank you,4,2025-04-30,Commercial Bank of Ethiopia,Google Play
great app,5,2025-04-30,Commercial Bank of Ethiopia,Google Play
bad.,1,2025-04-30,Commercial Bank of Ethiopia,Google Play
Dashen bank always one step ahead,5,2025-04-30,Commercial Bank of Ethiopia,Google Play
dashen super app is secure band very easy,5,2025-04-29,Commercial Bank of Ethiopia,Google Play
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Commercial Bank of Ethiopia,Google Play
best app I have ever seen,5,2025-04-29,Commercial Bank of Ethiopia,Google Play
best of best,5,2025-04-29,Commercial Bank of Ethiopia,Google Play
waw,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
best app,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Commercial Bank of Ethiopia,Google Play
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
wow appl,5,2025-04-28,Commercial Bank of Ethiopia,Google Play
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Commercial Bank of Ethiopia,Google Play
very nice,5,2025-04-26,Commercial Bank of Ethiopia,Google Play
great,4,2025-04-26,Commercial Bank of Ethiopia,Google Play
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Commercial Bank of Ethiopia,Google Play
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Commercial Bank of Ethiopia,Google Play
Very easy and Fast.,5,2025-04-24,Commercial Bank of Ethiopia,Google Play
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Commercial Bank of Ethiopia,Google Play
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Commercial Bank of Ethiopia,Google Play
execellent,5,2025-04-24,Commercial Bank of Ethiopia,Google Play
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,Commercial Bank of Ethiopia,Google Play
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Commercial Bank of Ethiopia,Google Play
it is incredible product.,5,2025-04-23,Commercial Bank of Ethiopia,Google Play
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,Commercial Bank of Ethiopia,Google Play
best app,5,2025-04-23,Commercial Bank of Ethiopia,Google Play
ok,5,2025-04-23,Commercial Bank of Ethiopia,Google Play
